Kachelname;Aktualitaet;Bildflugnummer;Koordinatenursprung_East;Koordinatenursprung_North
dop10rgbi_32_419_5679_1_nw;2018-04-06;nn;419000;5679000
dop10rgbi_32_419_5680_1_nw;2018-04-06;nn;419000;5680000
dop10rgbi_32_419_5681_1_nw;2018-04-06;nn;419000;5681000
dop10rgbi_32_419_5687_1_nw;2018-04-06;nn;419000;5687000
dop10rgbi_32_420_5677_1_nw;2018-04-06;nn;420000;5677000
dop10rgbi_32_420_5678_1_nw;2018-04-06;nn;420000;5678000
dop10rgbi_32_420_5679_1_nw;2018-04-06;nn;420000;5679000
dop10rgbi_32_420_5685_1_nw;2018-04-06;nn;420000;5685000
dop10rgbi_32_420_5686_1_nw;2018-04-06;nn;420000;5686000
dop10rgbi_32_421_5672_1_nw;2018-04-06;nn;421000;5672000
dop10rgbi_32_421_5673_1_nw;2018-04-06;nn;421000;5673000
dop10rgbi_32_421_5674_1_nw;2018-04-06;nn;421000;5674000
dop10rgbi_32_421_5676_1_nw;2018-04-06;nn;421000;5676000
dop10rgbi_32_421_5678_1_nw;2018-04-06;nn;421000;5678000
dop10rgbi_32_421_5682_1_nw;2018-04-06;nn;421000;5682000
dop10rgbi_32_421_5686_1_nw;2018-04-06;nn;421000;5686000
dop10rgbi_32_422_5672_1_nw;2018-04-06;nn;422000;5672000
dop10rgbi_32_422_5676_1_nw;2018-04-06;nn;422000;5676000
dop10rgbi_32_422_5677_1_nw;2018-04-06;nn;422000;5677000
dop10rgbi_32_422_5679_1_nw;2018-04-06;nn;422000;5679000
dop10rgbi_32_422_5681_1_nw;2018-04-06;nn;422000;5681000
dop10rgbi_32_422_5682_1_nw;2018-04-06;nn;422000;5682000
dop10rgbi_32_422_5683_1_nw;2018-04-06;nn;422000;5683000
dop10rgbi_32_422_5687_1_nw;2018-04-06;nn;422000;5687000
dop10rgbi_32_423_5673_1_nw;2018-04-06;nn;423000;5673000
dop10rgbi_32_423_5676_1_nw;2018-04-06;nn;423000;5676000
dop10rgbi_32_423_5679_1_nw;2018-04-06;nn;423000;5679000
dop10rgbi_32_423_5680_1_nw;2018-04-06;nn;423000;5680000
dop10rgbi_32_423_5681_1_nw;2018-04-06;nn;423000;5681000
dop10rgbi_32_423_5687_1_nw;2018-04-06;nn;423000;5687000
dop10rgbi_32_412_5688_1_nw;2018-04-06;nn;412000;5688000
dop10rgbi_32_412_5689_1_nw;2018-04-06;nn;412000;5689000
dop10rgbi_32_413_5688_1_nw;2018-04-06;nn;413000;5688000
dop10rgbi_32_413_5689_1_nw;2018-04-06;nn;413000;5689000
dop10rgbi_32_414_5688_1_nw;2018-04-06;nn;414000;5688000
dop10rgbi_32_414_5689_1_nw;2018-04-06;nn;414000;5689000
dop10rgbi_32_415_5689_1_nw;2018-04-06;nn;415000;5689000
dop10rgbi_32_416_5689_1_nw;2018-04-06;nn;416000;5689000
dop10rgbi_32_417_5688_1_nw;2018-04-06;nn;417000;5688000
dop10rgbi_32_417_5689_1_nw;2018-04-06;nn;417000;5689000
dop10rgbi_32_418_5688_1_nw;2018-04-06;nn;418000;5688000
dop10rgbi_32_418_5689_1_nw;2018-04-06;nn;418000;5689000
dop10rgbi_32_419_5688_1_nw;2018-04-06;nn;419000;5688000
dop10rgbi_32_419_5689_1_nw;2018-04-06;nn;419000;5689000
dop10rgbi_32_421_5688_1_nw;2018-04-06;nn;421000;5688000
dop10rgbi_32_422_5689_1_nw;2018-04-06;nn;422000;5689000
dop10rgbi_32_423_5688_1_nw;2018-04-06;nn;423000;5688000
dop10rgbi_32_423_5689_1_nw;2018-04-06;nn;423000;5689000
dop10rgbi_32_398_5782_1_nw;2019-06-27;nn;398000;5782000
dop10rgbi_32_399_5782_1_nw;2019-06-27;nn;399000;5782000
dop10rgbi_32_399_5783_1_nw;2019-06-27;nn;399000;5783000
dop10rgbi_32_400_5778_1_nw;2019-08-23;nn;400000;5778000
dop10rgbi_32_400_5779_1_nw;2019-08-23;nn;400000;5779000
dop10rgbi_32_400_5780_1_nw;2019-06-27;nn;400000;5780000
dop10rgbi_32_400_5781_1_nw;2019-06-27;nn;400000;5781000
dop10rgbi_32_401_5778_1_nw;2019-08-23;nn;401000;5778000
dop10rgbi_32_401_5782_1_nw;2019-06-27;nn;401000;5782000
dop10rgbi_32_402_5779_1_nw;2019-08-23;nn;402000;5779000
dop10rgbi_32_402_5782_1_nw;2019-06-27;nn;402000;5782000
dop10rgbi_32_402_5783_1_nw;2019-06-27;nn;402000;5783000
dop10rgbi_32_403_5778_1_nw;2019-08-23;nn;403000;5778000
dop10rgbi_32_403_5780_1_nw;2019-06-27;nn;403000;5780000
dop10rgbi_32_403_5781_1_nw;2019-06-27;nn;403000;5781000
dop10rgbi_32_403_5782_1_nw;2019-06-27;nn;403000;5782000
dop10rgbi_32_404_5778_1_nw;2019-08-23;nn;404000;5778000
dop10rgbi_32_404_5779_1_nw;2019-08-23;nn;404000;5779000
dop10rgbi_32_404_5780_1_nw;2019-06-27;nn;404000;5780000
dop10rgbi_32_405_5778_1_nw;2019-08-23;nn;405000;5778000
dop10rgbi_32_406_5782_1_nw;2019-06-27;nn;406000;5782000
dop10rgbi_32_406_5783_1_nw;2019-06-27;nn;406000;5783000
dop10rgbi_32_407_5780_1_nw;2019-06-27;nn;407000;5780000
dop10rgbi_32_407_5781_1_nw;2019-06-27;nn;407000;5781000
dop10rgbi_32_407_5782_1_nw;2019-06-27;nn;407000;5782000
dop10rgbi_32_407_5783_1_nw;2019-06-27;nn;407000;5783000
dop10rgbi_32_396_5784_1_nw;2019-06-17;nn;396000;5784000
dop10rgbi_32_396_5785_1_nw;2019-06-17;nn;396000;5785000
dop10rgbi_32_396_5786_1_nw;2019-06-17;nn;396000;5786000
dop10rgbi_32_397_5787_1_nw;2019-06-17;nn;397000;5787000
dop10rgbi_32_398_5788_1_nw;2019-06-27;nn;398000;5788000
dop10rgbi_32_398_5789_1_nw;2019-06-27;nn;398000;5789000
dop10rgbi_32_399_5784_1_nw;2019-06-27;nn;399000;5784000
dop10rgbi_32_400_5785_1_nw;2019-06-27;nn;400000;5785000
dop10rgbi_32_400_5788_1_nw;2019-06-27;nn;400000;5788000
dop10rgbi_32_400_5789_1_nw;2019-06-27;nn;400000;5789000
dop10rgbi_32_401_5785_1_nw;2019-06-27;nn;401000;5785000
dop10rgbi_32_401_5786_1_nw;2019-06-27;nn;401000;5786000
dop10rgbi_32_401_5787_1_nw;2019-06-27;nn;401000;5787000
dop10rgbi_32_402_5784_1_nw;2019-06-27;nn;402000;5784000
dop10rgbi_32_402_5785_1_nw;2019-06-27;nn;402000;5785000
dop10rgbi_32_403_5788_1_nw;2019-06-27;nn;403000;5788000
dop10rgbi_32_403_5789_1_nw;2019-06-27;nn;403000;5789000
dop10rgbi_32_404_5786_1_nw;2019-06-27;nn;404000;5786000
dop10rgbi_32_404_5787_1_nw;2019-06-27;nn;404000;5787000
dop10rgbi_32_404_5788_1_nw;2019-06-27;nn;404000;5788000
dop10rgbi_32_404_5789_1_nw;2019-06-27;nn;404000;5789000
dop10rgbi_32_405_5784_1_nw;2019-06-27;nn;405000;5784000
dop10rgbi_32_405_5785_1_nw;2019-06-27;nn;405000;5785000
dop10rgbi_32_405_5786_1_nw;2019-06-27;nn;405000;5786000
dop10rgbi_32_405_5787_1_nw;2019-06-27;nn;405000;5787000
dop10rgbi_32_405_5788_1_nw;2019-06-27;nn;405000;5788000
dop10rgbi_32_406_5784_1_nw;2019-06-27;nn;406000;5784000
dop10rgbi_32_406_5785_1_nw;2019-06-27;nn;406000;5785000
dop10rgbi_32_406_5787_1_nw;2019-06-27;nn;406000;5787000
dop10rgbi_32_407_5788_1_nw;2019-06-27;nn;407000;5788000
dop10rgbi_32_408_5778_1_nw;2019-08-23;nn;408000;5778000
dop10rgbi_32_408_5779_1_nw;2019-08-23;nn;408000;5779000
dop10rgbi_32_408_5780_1_nw;2019-06-27;nn;408000;5780000
dop10rgbi_32_408_5782_1_nw;2019-06-27;nn;408000;5782000
dop10rgbi_32_409_5779_1_nw;2019-08-23;nn;409000;5779000
dop10rgbi_32_409_5782_1_nw;2019-06-27;nn;409000;5782000
dop10rgbi_32_410_5782_1_nw;2019-06-27;nn;410000;5782000
dop10rgbi_32_410_5783_1_nw;2019-06-27;nn;410000;5783000
dop10rgbi_32_411_5778_1_nw;2019-08-23;nn;411000;5778000
dop10rgbi_32_411_5779_1_nw;2019-08-23;nn;411000;5779000
dop10rgbi_32_411_5781_1_nw;2019-06-27;nn;411000;5781000
dop10rgbi_32_411_5782_1_nw;2019-06-27;nn;411000;5782000
dop10rgbi_32_412_5779_1_nw;2019-08-23;nn;412000;5779000
dop10rgbi_32_412_5780_1_nw;2019-06-27;nn;412000;5780000
dop10rgbi_32_412_5781_1_nw;2019-06-27;nn;412000;5781000
dop10rgbi_32_412_5782_1_nw;2019-06-27;nn;412000;5782000
dop10rgbi_32_413_5779_1_nw;2019-08-23;nn;413000;5779000
dop10rgbi_32_413_5780_1_nw;2019-06-27;nn;413000;5780000
dop10rgbi_32_413_5781_1_nw;2019-06-27;nn;413000;5781000
dop10rgbi_32_414_5778_1_nw;2019-08-23;nn;414000;5778000
dop10rgbi_32_414_5779_1_nw;2019-08-23;nn;414000;5779000
dop10rgbi_32_414_5780_1_nw;2019-06-27;nn;414000;5780000
dop10rgbi_32_414_5781_1_nw;2019-06-27;nn;414000;5781000
dop10rgbi_32_415_5778_1_nw;2019-08-23;nn;415000;5778000
dop10rgbi_32_415_5779_1_nw;2019-08-23;nn;415000;5779000
dop10rgbi_32_415_5780_1_nw;2019-06-27;nn;415000;5780000
dop10rgbi_32_415_5783_1_nw;2019-06-27;nn;415000;5783000
dop10rgbi_32_416_5778_1_nw;2019-08-23;nn;416000;5778000
dop10rgbi_32_416_5779_1_nw;2019-08-23;nn;416000;5779000
dop10rgbi_32_416_5780_1_nw;2019-06-27;nn;416000;5780000
dop10rgbi_32_416_5781_1_nw;2019-06-27;nn;416000;5781000
dop10rgbi_32_417_5778_1_nw;2019-08-23;nn;417000;5778000
dop10rgbi_32_417_5779_1_nw;2019-08-23;nn;417000;5779000
dop10rgbi_32_417_5780_1_nw;2019-06-27;nn;417000;5780000
